%n density lambda lse TP FP 
%n density lambda lse TP FP 
50 0.3146 0.2 1.748691 0.783979 0.7551795
50 0.3138 0.2 1.809664 0.7906517 0.7709123
50 0.3138 0.2 1.820526 0.7827518 0.7738269
50 0.3138 0.2 1.891764 0.7715602 0.7728068
50 0.3138 0.2 1.865501 0.7975642 0.7610026
50 0.3138 0.2 1.825303 0.7722186 0.7679977
50 0.3128 0.2 1.878657 0.7803831 0.7598952
50 0.3128 0.2 1.914044 0.7754293 0.7743015
50 0.3128 0.2 1.845144 0.7793923 0.7636787
50 0.3128 0.2 1.845167 0.7932629 0.7712456
50 0.3128 0.2 1.786290 0.7721268 0.7616414
50 0.3138 0.2 1.815698 0.7583937 0.7661032
50 0.3138 0.2 1.781798 0.7738644 0.7687263
50 0.3138 0.2 1.821391 0.7788018 0.7591081
50 0.3138 0.2 1.855714 0.7837393 0.7735354
50 0.3138 0.2 1.835042 0.7718894 0.7607112
%n density lambda lse TP FP 
500 0.0614 0.2 1.256640 0.996109 0.984658
500 0.0614 0.2 1.209575 0.9922179 0.984445
500 0.0614 0.2 1.224856 0.9883268 0.9812487
500 0.0614 0.2 1.268289 0.9922179 0.9878543
500 0.0614 0.2 1.213051 0.9922179 0.9840188
500 0.0612 0.2 1.247649 0.9921875 0.9863656
500 0.0612 0.2 1.248826 1 0.9850873
500 0.0612 0.2 1.191550 0.984375 0.9816787
500 0.0612 0.2 1.223101 0.9921875 0.9867916
500 0.0612 0.2 1.230988 0.9921875 0.9846613
500 0.0616 0.2 1.197915 0.992248 0.9861466
500 0.0616 0.2 1.213501 0.988372 0.983376
500 0.0616 0.2 1.240427 0.996124 0.9825234
500 0.0616 0.2 1.241775 0.996124 0.9827366
500 0.0616 0.2 1.230461 0.9844961 0.981884
500 0.0614 0.2 1.175146 0.9883268 0.9835926
500 0.0614 0.2 1.241736 0.996109 0.9827403
500 0.0614 0.2 1.241037 0.9844358 0.9861496
500 0.0614 0.2 1.225349 0.9883268 0.9835926
500 0.0614 0.2 1.245919 0.9883268 0.9842318
500 0.0618 0.2 1.242527 0.984556 0.9867832
500 0.0618 0.2 1.204624 0.980695 0.9823065
500 0.0618 0.2 1.266438 1 0.9835856
500 0.0618 0.2 1.230923 0.988417 0.981667
500 0.0618 0.2 1.257021 0.996139 0.9835856
%n density lambda lse TP FP 
500 0.2188 0.2 1.214847 0.9923372 0.9807988
500 0.2188 0.2 1.182439 0.9904215 0.9807988
500 0.2188 0.2 1.166473 0.9942529 0.985151
500 0.2188 0.2 1.188634 0.993295 0.983103
500 0.2188 0.2 1.252331 0.9980843 0.985407
500 0.2196 0.2 1.200760 0.990458 0.9856484
500 0.2196 0.2 1.214338 0.9942748 0.9851358
500 0.2196 0.2 1.182153 0.9923664 0.980779
500 0.2196 0.2 1.204635 0.9933206 0.9838544
500 0.2196 0.2 1.180666 0.990458 0.9846233
500 0.219 0.2 1.203632 0.9875598 0.9818182
500 0.219 0.2 1.175624 0.9885167 0.984635
500 0.219 0.2 1.205532 0.9885167 0.9805378
500 0.219 0.2 1.203330 0.9894737 0.9825864
500 0.219 0.2 1.158421 0.9904306 0.9815621
500 0.2182 0.2 1.165349 0.9932757 0.984395
